onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	36	2	1	EM	2	0	lexdec	real	12	0	0	0	9	7	2	0.778	1.043	0.778	0
56	40	2	2	EM	2	0	scene	real	14	1	0	0	11	6	5	0.545	0.925	0.65	1
96	24	2	3	EM	2	0	face	catch	6	0	1	0	3	2	1	0.667	0.294	0.652	0.5
120	32	2	4	EM	2	0	scene	real	10	1	0	0	7	4	3	0.571	0.924	0.633	0.667
152	46	2	5	EM	2	0	face	real	17	1	0	0	14	7	7	0.5	1.142	0.591	0.75
198	52	2	6	EM	2	0	scene	real	20	1	0	0	17	10	7	0.588	0.866	0.59	0.8
250	54	2	7	EM	2	0	face	real	21	1	0	0	18	13	5	0.722	0.969	0.62	0.833
304	16	2	8	EM	2	0	scene	catch	2	0	1	0	0	0	0	NaN	0	0.62	0.714
320	42	2	9	EM	2	0	lexdec	real	15	0	0	0	12	6	6	0.5	0.98	0.604	0.714
362	34	2	10	EM	2	0	face	real	11	1	0	0	8	6	2	0.75	0.966	0.616	0.75
396	44	2	11	EM	2	0	lexdec	real	16	0	0	0	13	8	5	0.615	1.125	0.616	0.75
440	38	2	12	EM	2	0	face	real	13	1	0	0	10	3	7	0.3	0.97	0.59	0.778
478	48	2	13	EM	2	0	scene	real	18	1	0	0	15	9	6	0.6	1.079	0.591	0.8
526	26	2	14	EM	2	0	lexdec	catch	7	0	0	0	4	4	0	1	1.086	0.603	0.8
552	50	2	15	EM	2	0	lexdec	real	19	0	0	0	16	12	4	0.75	1.132	0.618	0.8
