onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	48	5	1	WM	1	0	scene	real	18	1	0	0	16	12	4	0.75	1.039	0.75	1
68	34	5	2	WM	1	0	lexdec	real	11	0	0	0	9	7	2	0.778	0.951	0.76	1
102	32	5	3	WM	1	0	scene	real	10	1	0	0	8	5	3	0.625	0.885	0.727	1
134	46	5	4	WM	1	0	lexdec	real	17	0	0	0	15	13	2	0.867	0.947	0.771	1
180	44	5	5	WM	1	0	face	real	16	1	0	0	14	13	1	0.929	1.215	0.806	1
224	20	5	6	WM	1	0	face	catch	4	0	1	0	2	1	1	0.5	1.061	0.797	0.75
244	28	5	7	WM	1	0	lexdec	catch	8	0	0	0	6	6	0	1	1.03	0.814	0.75
272	52	5	8	WM	1	0	scene	real	20	1	0	0	18	14	4	0.778	1.212	0.807	0.8
324	50	5	9	WM	1	0	face	real	19	1	0	0	17	12	5	0.706	1.119	0.79	0.833
374	38	5	10	WM	1	0	lexdec	real	13	0	0	0	11	7	4	0.636	1.071	0.776	0.833
412	54	5	11	WM	1	0	lexdec	real	21	0	0	0	19	15	4	0.789	1.165	0.778	0.833
466	18	5	12	WM	1	0	scene	catch	3	0	1	0	1	0	1	0	0.959	0.772	0.714
484	36	5	13	WM	1	0	face	real	12	1	0	0	10	7	3	0.7	0.994	0.767	0.75
520	40	5	14	WM	1	0	scene	real	14	1	0	0	12	10	2	0.833	0.931	0.772	0.778
560	42	5	15	WM	1	0	face	real	15	1	0	0	13	9	4	0.692	1.125	0.766	0.8
