onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	18	6	1	WM	1	0	face	catch	3	0	1	0	1	0	1	0	0.717	0	0
38	36	6	2	WM	1	0	face	real	12	0	1	0	10	9	1	0.9	0.992	0.818	0
74	38	6	3	WM	1	0	lexdec	real	13	0	0	0	11	11	0	1	0.982	0.909	0
112	34	6	4	WM	1	0	lexdec	real	11	0	0	0	9	8	1	0.889	1.021	0.903	0
146	50	6	5	WM	1	0	face	real	19	1	0	0	17	15	2	0.882	1.006	0.896	0.333
196	28	6	6	WM	1	0	scene	catch	8	1	0	0	6	4	2	0.667	0.954	0.87	0.5
224	44	6	7	WM	1	0	face	real	16	1	0	0	14	14	0	1	1.05	0.897	0.6
268	48	6	8	WM	1	0	scene	real	18	1	0	0	16	15	1	0.938	0.954	0.905	0.667
316	32	6	9	WM	1	0	scene	real	10	0	1	0	8	8	0	1	1.102	0.913	0.571
348	52	6	10	WM	1	0	scene	real	20	0	1	0	18	16	2	0.889	1.046	0.909	0.5
400	42	6	11	WM	1	0	face	real	15	0	1	0	13	13	0	1	1.061	0.919	0.444
442	20	6	12	WM	1	0	lexdec	catch	4	0	0	0	2	2	0	1	0.65	0.92	0.444
462	54	6	13	WM	1	0	lexdec	real	21	0	0	0	19	17	2	0.895	0.906	0.917	0.444
516	46	6	14	WM	1	0	lexdec	real	17	0	0	0	15	14	1	0.933	0.856	0.918	0.444
562	40	6	15	WM	1	0	scene	real	14	1	0	0	12	11	1	0.917	0.848	0.918	0.5
