onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	32	4	1	WM	1	0	lexdec	real	10	0	0	0	8	8	0	1	0.894	1	0
52	36	4	2	WM	1	0	scene	real	12	1	0	0	10	10	0	1	0.993	1	1
88	16	4	3	WM	1	0	face	catch	2	1	0	0	0	0	0	NaN	0.399	1	1
104	42	4	4	WM	1	0	scene	real	15	0	1	1	13	13	0	1	1.017	1	0.667
146	24	4	5	WM	1	0	lexdec	catch	6	0	0	0	4	3	1	0.75	0.82	0.971	0.667
170	52	4	6	WM	1	0	lexdec	real	20	0	0	0	18	18	0	1	0.945	0.981	0.667
222	40	4	7	WM	1	0	lexdec	real	14	0	0	0	12	10	2	0.833	0.94	0.954	0.667
262	46	4	8	WM	1	0	face	real	17	1	0	0	15	13	2	0.867	1.038	0.938	0.75
308	50	4	9	WM	1	0	scene	real	19	1	0	1	17	15	2	0.882	1.099	0.928	0.8
358	38	4	10	WM	1	0	face	real	13	1	0	0	11	11	0	1	0.927	0.935	0.833
396	54	4	11	WM	1	0	face	real	21	1	0	3	19	14	5	0.737	0.971	0.906	0.857
450	44	4	12	WM	1	0	scene	real	16	1	0	0	14	14	0	1	0.98	0.915	0.875
494	34	4	13	WM	1	0	face	real	11	1	0	0	9	8	1	0.889	0.968	0.913	0.889
528	48	4	14	WM	1	0	lexdec	real	18	0	0	0	16	16	0	1	1.025	0.922	0.889
576	26	4	15	WM	1	0	scene	catch	7	1	0	0	5	5	0	1	0.851	0.924	0.9
