onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	46	2	1	WM	1	0	scene	real	17	1	0	0	15	11	4	0.733	1.04	0.733	1
66	38	2	2	WM	1	0	scene	real	13	0	1	0	11	8	3	0.727	1.203	0.731	0.5
104	36	2	3	WM	1	0	lexdec	real	12	0	0	0	10	6	4	0.6	1.003	0.694	0.5
140	44	2	4	WM	1	0	lexdec	real	16	0	0	0	14	12	2	0.857	1.264	0.74	0.5
184	40	2	5	WM	1	0	face	real	14	0	1	0	12	9	3	0.75	1.136	0.742	0.333
224	34	2	6	WM	1	0	scene	real	11	1	0	0	9	8	1	0.889	1.006	0.761	0.5
258	30	2	7	WM	1	0	scene	catch	9	0	1	0	7	5	2	0.714	1.114	0.756	0.4
288	22	2	8	WM	1	0	lexdec	catch	5	0	0	0	3	1	2	0.333	0.97	0.741	0.4
310	48	2	9	WM	1	0	face	real	18	1	0	0	16	12	4	0.75	1.216	0.742	0.5
358	54	2	10	WM	1	0	scene	real	21	0	1	1	19	13	6	0.684	1.24	0.733	0.429
412	52	2	11	WM	1	0	face	real	20	0	1	0	18	18	0	1	1.118	0.769	0.375
464	32	2	12	WM	1	0	face	real	10	0	1	0	8	8	0	1	1.023	0.782	0.333
496	42	2	13	WM	1	0	lexdec	real	15	0	0	0	13	12	1	0.923	0.852	0.794	0.333
538	50	2	14	WM	1	0	lexdec	real	19	0	0	0	17	16	1	0.941	1.056	0.808	0.333
588	14	2	15	WM	1	0	face	catch	1	1	0	0	0	0	0	NaN	1.373	0.808	0.4
