filename	acq_time	block	cond
func/sub-24_task-wm_run-01_bold.nii.gz	10:53:29.945000	1	WM
func/sub-24_task-em_run-01_bold.nii.gz	11:04:2.212500	2	EM
func/sub-24_task-wm_run-02_bold.nii.gz	11:14:34.887500	3	WM
func/sub-24_task-em_run-02_bold.nii.gz	11:25:10.115000	4	EM
func/sub-24_task-wm_run-03_bold.nii.gz	11:35:50.120000	5	WM
func/sub-24_task-em_run-03_bold.nii.gz	11:46:22.890000	6	EM
anat/sub-24_T1w.nii.gz	10:35:26.140000	N/A	N/A
