onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	42	4	1	WM	1	0	lexdec	real	15	0	0	0	13	9	4	0.692	0.866	0.692	0
62	52	4	2	WM	1	0	face	real	20	1	0	0	18	13	5	0.722	1.108	0.71	1
114	38	4	3	WM	1	0	scene	real	13	1	0	1	11	8	3	0.727	1.076	0.714	1
152	36	4	4	WM	1	0	lexdec	real	12	0	0	0	10	10	0	1	0.887	0.769	1
188	48	4	5	WM	1	0	face	real	18	1	0	0	16	11	5	0.688	1.08	0.75	1
236	46	4	6	WM	1	0	scene	real	17	1	0	0	15	10	5	0.667	0.914	0.735	1
282	54	4	7	WM	1	0	scene	real	21	1	0	0	19	17	2	0.895	0.925	0.765	1
336	34	4	8	WM	1	0	scene	real	11	1	0	0	9	5	4	0.556	0.822	0.748	1
370	14	4	9	WM	1	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.748	1
384	30	4	10	WM	1	0	face	catch	9	0	1	0	7	5	2	0.714	1	0.746	0.875
414	44	4	11	WM	1	0	lexdec	real	16	0	0	0	14	13	1	0.929	0.646	0.765	0.875
458	32	4	12	WM	1	0	face	real	10	1	0	0	8	6	2	0.75	0.799	0.764	0.889
490	40	4	13	WM	1	0	face	real	14	1	0	0	12	10	2	0.833	0.753	0.77	0.9
530	22	4	14	WM	1	0	lexdec	catch	5	0	0	0	3	3	0	1	0.67	0.774	0.9
552	50	4	15	WM	1	0	lexdec	real	19	0	0	0	17	11	6	0.647	0.752	0.762	0.9
