onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	38	5	1	EM	2	0	face	real	13	1	0	0	10	8	2	0.8	0.697	0.8	1
58	16	5	2	EM	2	0	scene	catch	2	0	1	0	0	0	0	NaN	0	0.8	0.5
74	40	5	3	EM	2	0	scene	real	14	1	0	0	11	5	6	0.455	0.686	0.619	0.667
114	44	5	4	EM	2	0	lexdec	real	16	0	0	0	13	9	4	0.692	0.721	0.647	0.667
158	34	5	5	EM	2	0	face	real	11	0	1	0	8	3	5	0.375	0.58	0.595	0.5
192	54	5	6	EM	2	0	face	real	21	0	1	0	18	10	8	0.556	0.712	0.583	0.4
246	24	5	7	EM	2	0	face	catch	6	1	0	0	3	2	1	0.667	0.511	0.587	0.5
270	50	5	8	EM	2	0	lexdec	real	19	0	0	0	16	13	3	0.812	0.63	0.633	0.5
320	26	5	9	EM	2	0	lexdec	catch	7	0	0	0	4	2	2	0.5	0.511	0.627	0.5
346	52	5	10	EM	2	0	scene	real	20	1	0	0	17	10	7	0.588	0.725	0.62	0.571
398	46	5	11	EM	2	0	face	real	17	1	0	0	14	9	5	0.643	0.662	0.623	0.625
444	32	5	12	EM	2	0	scene	real	10	1	0	1	7	3	4	0.429	0.763	0.612	0.667
476	42	5	13	EM	2	0	lexdec	real	15	0	0	0	12	5	7	0.417	0.503	0.594	0.667
518	36	5	14	EM	2	0	lexdec	real	12	0	0	0	9	6	3	0.667	0.572	0.599	0.667
554	48	5	15	EM	2	0	scene	real	18	1	0	0	15	9	6	0.6	0.626	0.599	0.7
