onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	20	6	1	WM	1	0	face	catch	4	0	1	0	2	1	1	0.5	0.495	0.5	0
40	38	6	2	WM	1	0	lexdec	real	13	0	0	0	11	7	4	0.636	0.807	0.615	0
78	28	6	3	WM	1	0	lexdec	catch	8	0	0	0	6	4	2	0.667	0.781	0.632	0
106	32	6	4	WM	1	0	scene	real	10	1	0	0	8	7	1	0.875	0.73	0.704	0.5
138	42	6	5	WM	1	0	face	real	15	0	1	0	13	11	2	0.846	0.899	0.75	0.333
180	36	6	6	WM	1	0	face	real	12	0	1	0	10	10	0	1	0.852	0.8	0.25
216	52	6	7	WM	1	0	scene	real	20	1	0	0	18	12	6	0.667	0.774	0.765	0.4
268	34	6	8	WM	1	0	lexdec	real	11	0	0	0	9	4	5	0.444	0.783	0.727	0.4
302	50	6	9	WM	1	0	face	real	19	0	1	0	17	15	2	0.882	0.887	0.755	0.333
352	44	6	10	WM	1	0	face	real	16	1	0	0	14	10	4	0.714	0.771	0.75	0.429
396	40	6	11	WM	1	0	scene	real	14	0	1	1	12	8	4	0.667	0.899	0.742	0.375
436	46	6	12	WM	1	0	lexdec	real	17	0	0	0	15	12	3	0.8	1.002	0.748	0.375
482	48	6	13	WM	1	0	scene	real	18	1	0	1	16	13	3	0.812	0.849	0.755	0.444
530	54	6	14	WM	1	0	lexdec	real	21	0	0	0	19	14	5	0.737	0.714	0.753	0.444
584	18	6	15	WM	1	0	scene	catch	3	0	1	0	1	1	0	1	0.627	0.754	0.4
