onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	38	3	1	EM	2	0	scene	real	13	1	0	0	10	5	5	0.5	0.787	0.5	1
58	44	3	2	EM	2	0	face	real	16	1	0	0	13	8	5	0.615	0.714	0.565	1
102	32	3	3	EM	2	0	lexdec	real	10	0	0	0	7	5	2	0.714	0.694	0.6	1
134	52	3	4	EM	2	0	lexdec	real	20	0	0	0	17	10	7	0.588	0.832	0.596	1
186	36	3	5	EM	2	0	face	real	12	0	1	0	9	5	4	0.556	0.93	0.589	0.667
222	46	3	6	EM	2	0	scene	real	17	1	0	0	14	13	1	0.929	0.615	0.657	0.75
268	18	3	7	EM	2	0	face	catch	3	0	1	0	0	0	0	NaN	0.387	0.657	0.6
286	20	3	8	EM	2	0	lexdec	catch	4	0	0	0	1	0	1	0	0.498	0.648	0.6
306	48	3	9	EM	2	0	lexdec	real	18	0	0	0	15	11	4	0.733	0.785	0.663	0.6
354	40	3	10	EM	2	0	lexdec	real	14	0	0	0	11	7	4	0.636	0.742	0.66	0.6
394	54	3	11	EM	2	0	scene	real	21	1	0	0	18	7	11	0.389	0.669	0.617	0.667
448	42	3	12	EM	2	0	face	real	15	1	0	0	12	12	0	1	0.623	0.654	0.714
490	50	3	13	EM	2	0	face	real	19	1	0	0	16	11	5	0.688	0.789	0.657	0.75
540	28	3	14	EM	2	0	scene	catch	8	0	1	0	5	3	2	0.6	0.647	0.655	0.667
568	34	3	15	EM	2	0	scene	real	11	1	0	0	8	4	4	0.5	0.619	0.647	0.7
