onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	36	1	1	WM	1	0	scene	real	12	1	0	1	10	5	5	0.5	0.622	0.5	1
56	54	1	2	WM	1	0	face	real	21	1	0	1	19	10	9	0.526	1.05	0.517	1
110	24	1	3	WM	1	0	scene	catch	6	1	0	0	4	2	2	0.5	0.845	0.515	1
134	16	1	4	WM	1	0	face	catch	2	0	1	0	0	0	0	NaN	0.479	0.515	0.75
150	44	1	5	WM	1	0	scene	real	16	1	0	0	14	11	3	0.786	1.178	0.596	0.8
194	32	1	6	WM	1	0	lexdec	real	10	0	0	0	8	4	4	0.5	0.963	0.582	0.8
226	52	1	7	WM	1	0	lexdec	real	20	0	0	0	18	10	8	0.556	0.753	0.575	0.8
278	42	1	8	WM	1	0	scene	real	15	1	0	0	13	6	7	0.462	0.85	0.558	0.833
320	38	1	9	WM	1	0	face	real	13	0	1	0	11	7	4	0.636	1.194	0.567	0.714
358	40	1	10	WM	1	0	lexdec	real	14	0	0	0	12	9	3	0.75	0.996	0.587	0.714
398	34	1	11	WM	1	0	face	real	11	0	1	0	9	4	5	0.444	1.052	0.576	0.625
432	50	1	12	WM	1	0	scene	real	19	0	1	1	17	9	8	0.529	0.887	0.57	0.556
482	26	1	13	WM	1	0	lexdec	catch	7	0	0	0	5	5	0	1	1.113	0.586	0.556
508	48	1	14	WM	1	0	lexdec	real	18	0	0	0	16	7	9	0.438	0.794	0.571	0.556
556	46	1	15	WM	1	0	face	real	17	0	1	0	15	9	6	0.6	0.529	0.573	0.5
