onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	52	1	1	EM	2	0	face	real	20	1	0	0	17	10	7	0.588	0.986	0.588	1
72	50	1	2	EM	2	0	lexdec	real	19	0	0	0	16	7	9	0.438	0.807	0.515	1
122	36	1	3	EM	2	0	lexdec	real	12	0	0	0	9	6	3	0.667	1.066	0.548	1
158	22	1	4	EM	2	0	lexdec	catch	5	0	0	0	2	1	1	0.5	0.854	0.545	1
180	32	1	5	EM	2	0	face	real	10	1	0	0	7	5	2	0.714	0.877	0.569	1
212	14	1	6	EM	2	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.569	1
226	54	1	7	EM	2	0	scene	real	21	1	0	0	18	13	5	0.722	1.109	0.609	1
280	44	1	8	EM	2	0	lexdec	real	16	0	0	0	13	9	4	0.692	1.187	0.622	1
324	30	1	9	EM	2	0	face	catch	9	0	1	0	6	3	3	0.5	0.742	0.614	0.8
354	34	1	10	EM	2	0	scene	real	11	1	0	0	8	5	3	0.625	0.959	0.615	0.833
388	46	1	11	EM	2	0	scene	real	17	1	0	0	14	7	7	0.5	1.133	0.6	0.857
434	38	1	12	EM	2	0	scene	real	13	1	0	0	10	7	3	0.7	0.866	0.608	0.875
472	48	1	13	EM	2	0	face	real	18	1	0	0	15	10	5	0.667	0.901	0.615	0.889
520	40	1	14	EM	2	0	face	real	14	1	0	0	11	9	2	0.818	1.003	0.63	0.9
560	42	1	15	EM	2	0	lexdec	real	15	0	0	0	12	8	4	0.667	1.022	0.633	0.9
