filename	acq_time	block	cond
func/sub-25_task-em_run-01_bold.nii.gz	09:45:1.712500	1	EM
func/sub-25_task-wm_run-01_bold.nii.gz	09:55:31.972500	2	WM
func/sub-25_task-em_run-02_bold.nii.gz	10:06:31.877500	3	EM
func/sub-25_task-wm_run-02_bold.nii.gz	10:17:3.670000	4	WM
func/sub-25_task-em_run-03_bold.nii.gz	10:27:36.942500	5	EM
func/sub-25_task-wm_run-03_bold.nii.gz	10:38:4.292500	6	WM
anat/sub-25_T1w.nii.gz	09:22:23.207500	N/A	N/A
