onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	48	4	1	EM	2	0	lexdec	real	18	0	0	0	15	10	5	0.667	0.983	0.667	0
68	54	4	2	EM	2	0	scene	real	21	0	1	0	18	13	5	0.722	1.035	0.697	0
122	52	4	3	EM	2	0	lexdec	real	20	0	0	0	17	13	4	0.765	0.958	0.72	0
174	36	4	4	EM	2	0	face	real	12	0	1	0	9	2	7	0.222	1.114	0.644	0
210	50	4	5	EM	2	0	face	real	19	0	1	0	16	9	7	0.562	1.192	0.627	0
260	32	4	6	EM	2	0	lexdec	real	10	0	0	0	7	7	0	1	0.823	0.659	0
292	28	4	7	EM	2	0	scene	catch	8	1	0	0	5	4	1	0.8	0.708	0.667	0.25
320	40	4	8	EM	2	0	lexdec	real	14	0	0	0	11	10	1	0.909	0.965	0.694	0.25
360	46	4	9	EM	2	0	scene	real	17	1	0	0	14	8	6	0.571	0.863	0.679	0.4
406	34	4	10	EM	2	0	scene	real	11	1	0	0	8	7	1	0.875	0.806	0.692	0.5
440	20	4	11	EM	2	0	face	catch	4	1	0	0	1	1	0	1	0.227	0.694	0.571
460	42	4	12	EM	2	0	face	real	15	0	1	0	12	7	5	0.583	1.03	0.684	0.5
502	18	4	13	EM	2	0	lexdec	catch	3	0	0	0	0	0	0	NaN	0.276	0.684	0.5
520	44	4	14	EM	2	0	face	real	16	1	0	0	13	9	4	0.692	1.085	0.685	0.556
564	38	4	15	EM	2	0	scene	real	13	1	0	0	10	8	2	0.8	1.007	0.692	0.6
