onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	3	1	WM	1	0	face	real	19	0	1	0	17	12	5	0.706	1.037	0.706	0
70	36	3	2	WM	1	0	face	real	12	0	1	0	10	4	6	0.4	1.076	0.593	0
106	28	3	3	WM	1	0	scene	catch	8	0	1	0	6	4	2	0.667	1.158	0.606	0
134	44	3	4	WM	1	0	face	real	16	1	0	0	14	11	3	0.786	1.06	0.66	0.25
178	40	3	5	WM	1	0	scene	real	14	1	0	0	12	10	2	0.833	1.007	0.695	0.4
218	42	3	6	WM	1	0	face	real	15	1	0	2	13	10	3	0.769	0.909	0.708	0.5
260	32	3	7	WM	1	0	scene	real	10	1	0	0	8	7	1	0.875	0.976	0.725	0.571
292	54	3	8	WM	1	0	lexdec	real	21	0	0	0	19	14	5	0.737	1.007	0.727	0.571
346	46	3	9	WM	1	0	lexdec	real	17	0	0	0	15	14	1	0.933	0.911	0.754	0.571
392	38	3	10	WM	1	0	lexdec	real	13	0	0	0	11	11	0	1	0.889	0.776	0.571
430	18	3	11	WM	1	0	lexdec	catch	3	0	0	0	1	1	0	1	0.592	0.778	0.571
448	48	3	12	WM	1	0	scene	real	18	1	0	0	16	13	3	0.812	1.103	0.782	0.625
496	34	3	13	WM	1	0	lexdec	real	11	0	0	0	9	9	0	1	0.808	0.795	0.625
530	20	3	14	WM	1	0	face	catch	4	1	0	0	2	2	0	1	0.64	0.797	0.667
550	52	3	15	WM	1	0	scene	real	20	0	1	0	18	17	1	0.944	1.026	0.813	0.6
