onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	46	2	1	EM	2	0	lexdec	real	17	0	0	0	14	12	2	0.857	0.934	0.857	0
66	36	2	2	EM	2	0	scene	real	12	1	0	0	9	7	2	0.778	0.938	0.826	1
102	34	2	3	EM	2	0	lexdec	real	11	0	0	0	8	4	4	0.5	1.042	0.742	1
136	44	2	4	EM	2	0	scene	real	16	1	0	0	13	8	5	0.615	1.011	0.705	1
180	50	2	5	EM	2	0	scene	real	19	0	1	0	16	11	5	0.688	1.037	0.7	0.667
230	30	2	6	EM	2	0	scene	catch	9	1	0	0	6	3	3	0.5	0.741	0.682	0.75
260	40	2	7	EM	2	0	face	real	14	0	1	0	11	7	4	0.636	1.019	0.675	0.6
300	52	2	8	EM	2	0	face	real	20	0	1	0	17	11	6	0.647	1.123	0.67	0.5
352	32	2	9	EM	2	0	face	real	10	0	1	0	7	5	2	0.714	1.007	0.673	0.429
384	54	2	10	EM	2	0	lexdec	real	21	0	0	0	18	15	3	0.833	0.986	0.697	0.429
438	42	2	11	EM	2	0	scene	real	15	0	1	0	12	6	6	0.5	1.082	0.679	0.375
480	14	2	12	EM	2	0	face	catch	1	1	0	0	0	0	0	NaN	0	0.679	0.444
494	22	2	13	EM	2	0	lexdec	catch	5	0	0	0	2	2	0	1	0.571	0.684	0.444
516	48	2	14	EM	2	0	face	real	18	0	1	1	15	6	9	0.4	0.979	0.655	0.4
564	38	2	15	EM	2	0	lexdec	real	13	0	0	0	10	5	5	0.5	1.048	0.646	0.4
