onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	1	1	WM	1	0	lexdec	real	19	0	0	0	17	15	2	0.882	0.928	0.882	0
70	40	1	2	WM	1	0	face	real	14	1	0	0	12	5	7	0.417	0.932	0.69	1
110	30	1	3	WM	1	0	lexdec	catch	9	0	0	0	7	5	2	0.714	0.843	0.694	1
140	44	1	4	WM	1	0	lexdec	real	16	0	0	0	14	13	1	0.929	0.906	0.76	1
184	38	1	5	WM	1	0	scene	real	13	0	1	0	11	9	2	0.818	1.126	0.77	0.5
222	36	1	6	WM	1	0	lexdec	real	12	0	0	0	10	9	1	0.9	0.973	0.789	0.5
258	48	1	7	WM	1	0	face	real	18	1	0	0	16	11	5	0.688	0.98	0.77	0.667
306	14	1	8	WM	1	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.77	0.75
320	52	1	9	WM	1	0	face	real	20	1	0	0	18	13	5	0.722	1.069	0.762	0.8
372	32	1	10	WM	1	0	face	real	10	1	0	0	8	6	2	0.75	0.904	0.761	0.833
404	22	1	11	WM	1	0	face	catch	5	0	1	0	3	3	0	1	0.953	0.767	0.714
426	42	1	12	WM	1	0	lexdec	real	15	0	0	0	13	12	1	0.923	0.972	0.783	0.714
468	34	1	13	WM	1	0	scene	real	11	1	0	0	9	7	2	0.778	0.921	0.783	0.75
502	54	1	14	WM	1	0	scene	real	21	1	0	0	19	15	4	0.789	1.114	0.783	0.778
556	46	1	15	WM	1	0	scene	real	17	0	1	1	15	11	4	0.733	1.049	0.779	0.7
