onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	52	2	1	EM	2	0	scene	real	20	1	0	0	17	10	7	0.588	1.132	0.588	1
72	48	2	2	EM	2	0	scene	real	18	1	0	0	15	11	4	0.733	1.075	0.656	1
120	24	2	3	EM	2	0	lexdec	catch	6	0	0	0	3	3	0	1	0.791	0.686	1
144	34	2	4	EM	2	0	face	real	11	0	1	0	8	3	5	0.375	0.988	0.628	0.667
178	36	2	5	EM	2	0	lexdec	real	12	0	0	0	9	9	0	1	0.9	0.692	0.667
214	16	2	6	EM	2	0	face	catch	2	0	1	0	0	0	0	NaN	0	0.692	0.5
230	42	2	7	EM	2	0	lexdec	real	15	0	0	0	12	10	2	0.833	0.671	0.719	0.5
272	46	2	8	EM	2	0	face	real	17	1	0	0	14	9	5	0.643	1.035	0.705	0.6
318	40	2	9	EM	2	0	scene	real	14	1	0	0	11	8	3	0.727	1.024	0.708	0.667
358	26	2	10	EM	2	0	scene	catch	7	1	0	0	4	4	0	1	0.649	0.72	0.714
384	32	2	11	EM	2	0	scene	real	10	1	0	0	7	5	2	0.714	0.866	0.72	0.75
416	44	2	12	EM	2	0	lexdec	real	16	0	0	0	13	11	2	0.846	1.012	0.735	0.75
460	54	2	13	EM	2	0	face	real	21	0	1	0	18	7	11	0.389	1.171	0.687	0.667
514	50	2	14	EM	2	0	lexdec	real	19	0	0	0	16	12	4	0.75	0.877	0.694	0.667
564	38	2	15	EM	2	0	face	real	13	0	1	0	10	5	5	0.5	1.079	0.682	0.6
