onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	34	2	1	WM	1	0	lexdec	real	11	0	0	0	9	7	2	0.778	1.205	0.778	0
54	46	2	2	WM	1	0	lexdec	real	17	0	0	0	15	13	2	0.867	0.933	0.833	0
100	32	2	3	WM	1	0	face	real	10	1	0	0	8	6	2	0.75	0.827	0.812	1
132	38	2	4	WM	1	0	lexdec	real	13	0	0	0	11	9	2	0.818	1.14	0.814	1
170	48	2	5	WM	1	0	face	real	18	1	0	0	16	13	3	0.812	1.069	0.814	1
218	44	2	6	WM	1	0	scene	real	16	1	0	0	14	9	5	0.643	1.094	0.781	1
262	52	2	7	WM	1	0	face	real	20	1	0	0	18	15	3	0.833	1.105	0.791	1
314	36	2	8	WM	1	0	scene	real	12	1	0	0	10	9	1	0.9	1.22	0.802	1
350	40	2	9	WM	1	0	face	real	14	0	1	0	12	10	2	0.833	1.357	0.805	0.833
390	14	2	10	WM	1	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.805	0.857
404	30	2	11	WM	1	0	lexdec	catch	9	0	0	0	7	5	2	0.714	1.107	0.8	0.857
434	22	2	12	WM	1	0	face	catch	5	1	0	0	3	3	0	1	0.851	0.805	0.875
456	50	2	13	WM	1	0	scene	real	19	1	0	0	17	15	2	0.882	1.281	0.814	0.889
506	54	2	14	WM	1	0	lexdec	real	21	0	0	0	19	17	2	0.895	1.018	0.824	0.889
560	42	2	15	WM	1	0	scene	real	15	1	0	0	13	9	4	0.692	1.003	0.814	0.9
