onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	42	5	1	EM	2	0	scene	real	15	1	0	0	12	9	3	0.75	1.001	0.75	1
62	26	5	2	EM	2	0	lexdec	catch	7	0	0	0	4	4	0	1	0.665	0.812	1
88	24	5	3	EM	2	0	scene	catch	6	1	0	0	3	3	0	1	0.893	0.842	1
112	36	5	4	EM	2	0	scene	real	12	1	0	0	9	6	3	0.667	0.94	0.786	1
148	52	5	5	EM	2	0	lexdec	real	20	0	0	0	17	13	4	0.765	0.871	0.778	1
200	54	5	6	EM	2	0	face	real	21	1	0	0	18	12	6	0.667	1.003	0.746	1
254	50	5	7	EM	2	0	scene	real	19	1	0	0	16	9	7	0.562	0.993	0.709	1
304	34	5	8	EM	2	0	face	real	11	1	0	0	8	8	0	1	0.893	0.736	1
338	32	5	9	EM	2	0	lexdec	real	10	0	0	0	7	3	4	0.429	0.907	0.713	1
370	48	5	10	EM	2	0	lexdec	real	18	0	0	0	15	13	2	0.867	0.903	0.734	1
418	16	5	11	EM	2	0	face	catch	2	1	0	0	0	0	0	NaN	0	0.734	1
434	38	5	12	EM	2	0	face	real	13	1	0	0	10	4	6	0.4	0.921	0.706	1
472	46	5	13	EM	2	0	face	real	17	1	0	0	14	7	7	0.5	0.977	0.684	1
518	40	5	14	EM	2	0	lexdec	real	14	0	0	0	11	10	1	0.909	1.02	0.701	1
558	44	5	15	EM	2	0	scene	real	16	1	0	0	13	10	3	0.769	0.897	0.707	1
