onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	18	3	1	EM	2	0	scene	catch	3	0	1	0	0	0	0	NaN	0.4	0	0
38	44	3	2	EM	2	0	face	real	16	0	1	0	13	10	3	0.769	1.256	0.769	0
82	38	3	3	EM	2	0	lexdec	real	13	0	0	0	10	7	3	0.7	0.747	0.739	0
120	28	3	4	EM	2	0	lexdec	catch	8	0	0	0	5	4	1	0.8	0.625	0.75	0
148	50	3	5	EM	2	0	face	real	19	0	1	0	16	8	8	0.5	0.838	0.659	0
198	42	3	6	EM	2	0	face	real	15	0	1	0	12	6	6	0.5	0.66	0.625	0
240	36	3	7	EM	2	0	face	real	12	0	1	0	9	6	3	0.667	0.776	0.631	0
276	52	3	8	EM	2	0	scene	real	20	1	0	0	17	14	3	0.824	0.778	0.671	0.167
328	32	3	9	EM	2	0	scene	real	10	1	0	0	7	7	0	1	0.8	0.697	0.286
360	20	3	10	EM	2	0	face	catch	4	1	0	0	1	1	0	1	0.519	0.7	0.375
380	34	3	11	EM	2	0	lexdec	real	11	0	0	0	8	3	5	0.375	0.843	0.673	0.375
414	54	3	12	EM	2	0	lexdec	real	21	0	0	0	18	14	4	0.778	0.956	0.69	0.375
468	46	3	13	EM	2	0	lexdec	real	17	0	0	0	14	9	5	0.643	0.811	0.685	0.375
514	48	3	14	EM	2	0	scene	real	18	1	0	0	15	8	7	0.533	0.796	0.669	0.444
562	40	3	15	EM	2	0	scene	real	14	1	0	0	11	6	5	0.545	0.703	0.66	0.5
