onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	42	5	1	EM	2	0	face	real	15	0	1	0	12	9	3	0.75	0.773	0.75	0
62	40	5	2	EM	2	0	lexdec	real	14	0	0	0	11	7	4	0.636	0.785	0.696	0
102	52	5	3	EM	2	0	lexdec	real	20	0	0	0	17	9	8	0.529	0.665	0.625	0
154	44	5	4	EM	2	0	face	real	16	0	1	0	13	7	6	0.538	0.843	0.604	0
198	54	5	5	EM	2	0	scene	real	21	0	1	0	18	11	7	0.611	0.741	0.606	0
252	32	5	6	EM	2	0	lexdec	real	10	0	0	0	7	5	2	0.714	0.593	0.615	0
284	34	5	7	EM	2	0	scene	real	11	1	0	0	8	6	2	0.75	0.861	0.628	0.25
318	48	5	8	EM	2	0	lexdec	real	18	0	0	0	15	12	3	0.8	0.881	0.653	0.25
366	46	5	9	EM	2	0	scene	real	17	1	0	0	14	9	5	0.643	0.879	0.652	0.4
412	18	5	10	EM	2	0	scene	catch	3	0	1	0	0	0	0	NaN	0.381	0.652	0.333
430	28	5	11	EM	2	0	lexdec	catch	8	0	0	0	5	4	1	0.8	0.575	0.658	0.333
458	38	5	12	EM	2	0	scene	real	13	1	0	0	10	7	3	0.7	0.697	0.662	0.429
496	36	5	13	EM	2	0	face	real	12	0	1	0	9	7	2	0.778	0.787	0.669	0.375
532	50	5	14	EM	2	0	face	real	19	0	1	0	16	9	7	0.562	0.859	0.658	0.333
582	20	5	15	EM	2	0	face	catch	4	0	1	0	1	1	0	1	0.704	0.66	0.3
