filename	acq_time	block	cond
func/sub-03_task-wm_run-01_bold.nii.gz	16:54:52.215000	1	WM
func/sub-03_task-em_run-01_bold.nii.gz	17:08:14.787500	2	EM
func/sub-03_task-wm_run-02_bold.nii.gz	17:19:10.415000	3	WM
func/sub-03_task-em_run-02_bold.nii.gz	17:31:22.910000	4	EM
func/sub-03_task-wm_run-03_bold.nii.gz	17:50:6.105000	5	WM
func/sub-03_task-em_run-03_bold.nii.gz	18:00:34.270000	6	EM
anat/sub-03_T1w.nii.gz	11:35:50.037500	N/A	N/A
