onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	34	5	1	EM	2	0	lexdec	real	11	0	0	0	8	4	4	0.5	0.983	0.5	0
54	44	5	2	EM	2	0	face	real	16	0	1	0	13	6	7	0.462	1.034	0.476	0
98	50	5	3	EM	2	0	face	real	19	1	0	0	16	9	7	0.562	0.916	0.514	0.5
148	46	5	4	EM	2	0	lexdec	real	17	0	0	0	14	10	4	0.714	0.995	0.569	0.5
194	42	5	5	EM	2	0	face	real	15	1	0	0	12	11	1	0.917	0.918	0.635	0.667
236	38	5	6	EM	2	0	lexdec	real	13	0	0	0	10	5	5	0.5	1.058	0.616	0.667
274	48	5	7	EM	2	0	scene	real	18	1	0	0	15	9	6	0.6	1.067	0.614	0.75
322	28	5	8	EM	2	0	face	catch	8	1	0	0	5	3	2	0.6	0.941	0.613	0.8
350	36	5	9	EM	2	0	face	real	12	0	1	0	9	3	6	0.333	1.025	0.588	0.667
386	40	5	10	EM	2	0	scene	real	14	0	1	0	11	7	4	0.636	1.052	0.593	0.571
426	20	5	11	EM	2	0	lexdec	catch	4	0	0	0	1	0	1	0	0.823	0.588	0.571
446	52	5	12	EM	2	0	scene	real	20	1	0	0	17	14	3	0.824	1.076	0.618	0.625
498	32	5	13	EM	2	0	scene	real	10	1	0	0	7	3	4	0.429	0.865	0.609	0.667
530	18	5	14	EM	2	0	scene	catch	3	1	0	0	0	0	0	NaN	0.379	0.609	0.7
548	54	5	15	EM	2	0	lexdec	real	21	0	0	0	18	9	9	0.5	1.021	0.596	0.7
