onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	18	5	1	WM	1	0	face	catch	3	0	1	0	1	1	0	1	0.921	1	0
38	44	5	2	WM	1	0	face	real	16	1	0	0	14	12	2	0.857	1.058	0.867	0.5
82	46	5	3	WM	1	0	scene	real	17	1	0	1	15	11	4	0.733	1.017	0.8	0.667
128	54	5	4	WM	1	0	scene	real	21	1	0	0	19	16	3	0.842	1.205	0.816	0.75
182	50	5	5	WM	1	0	face	real	19	1	0	3	17	12	5	0.706	0.981	0.788	0.8
232	48	5	6	WM	1	0	lexdec	real	18	0	0	0	16	14	2	0.875	0.916	0.805	0.8
280	20	5	7	WM	1	0	scene	catch	4	1	0	0	2	2	0	1	0.697	0.81	0.833
300	42	5	8	WM	1	0	face	real	15	1	0	0	13	11	2	0.846	0.935	0.814	0.857
342	28	5	9	WM	1	0	lexdec	catch	8	0	0	0	6	3	3	0.5	0.777	0.796	0.857
370	36	5	10	WM	1	0	face	real	12	0	1	1	10	8	2	0.8	1.246	0.796	0.75
406	38	5	11	WM	1	0	scene	real	13	1	0	0	11	8	3	0.727	0.948	0.79	0.778
444	32	5	12	WM	1	0	lexdec	real	10	0	0	0	8	7	1	0.875	1.013	0.795	0.778
476	34	5	13	WM	1	0	scene	real	11	1	0	0	9	8	1	0.889	1.138	0.801	0.8
510	40	5	14	WM	1	0	lexdec	real	14	0	0	0	12	10	2	0.833	0.901	0.804	0.8
550	52	5	15	WM	1	0	lexdec	real	20	0	0	0	18	16	2	0.889	1.036	0.813	0.8
