onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	32	3	1	WM	1	0	lexdec	real	10	0	0	0	8	8	0	1	0.948	1	0
52	48	3	2	WM	1	0	lexdec	real	18	0	0	0	16	16	0	1	1.022	1	0
100	44	3	3	WM	1	0	scene	real	16	1	0	0	14	10	4	0.714	0.99	0.895	1
144	36	3	4	WM	1	0	scene	real	12	1	0	0	10	8	2	0.8	0.954	0.875	1
180	46	3	5	WM	1	0	face	real	17	1	0	0	15	9	6	0.6	1.091	0.81	1
226	34	3	6	WM	1	0	face	real	11	0	1	2	9	4	5	0.444	0.976	0.764	0.75
260	54	3	7	WM	1	0	face	real	21	1	0	1	19	13	6	0.684	1.025	0.747	0.8
314	42	3	8	WM	1	0	scene	real	15	1	0	0	13	12	1	0.923	1.152	0.769	0.833
356	38	3	9	WM	1	0	face	real	13	0	1	0	11	6	5	0.545	1.221	0.748	0.714
394	40	3	10	WM	1	0	lexdec	real	14	0	0	0	12	9	3	0.75	1.175	0.748	0.714
434	16	3	11	WM	1	0	face	catch	2	1	0	0	0	0	0	NaN	1.138	0.748	0.75
450	24	3	12	WM	1	0	lexdec	catch	6	0	0	0	4	2	2	0.5	1.239	0.74	0.75
474	52	3	13	WM	1	0	lexdec	real	20	0	0	0	18	16	2	0.889	1.003	0.758	0.75
526	26	3	14	WM	1	0	scene	catch	7	1	0	0	5	4	1	0.8	1.005	0.76	0.778
552	50	3	15	WM	1	0	scene	real	19	1	0	1	17	10	7	0.588	1.163	0.743	0.8
