onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	36	6	1	EM	2	0	lexdec	real	12	0	0	0	9	8	1	0.889	0.83	0.889	0
56	54	6	2	EM	2	0	face	real	21	1	0	0	18	13	5	0.722	0.968	0.778	1
110	48	6	3	EM	2	0	scene	real	18	0	1	0	15	8	7	0.533	1.128	0.69	0.5
158	32	6	4	EM	2	0	scene	real	10	0	1	0	7	0	7	0	0.941	0.592	0.333
190	24	6	5	EM	2	0	scene	catch	6	1	0	0	3	2	1	0.667	0.784	0.596	0.5
214	16	6	6	EM	2	0	face	catch	2	1	0	0	0	0	0	NaN	0	0.596	0.6
230	42	6	7	EM	2	0	lexdec	real	15	0	0	0	12	8	4	0.667	0.965	0.609	0.6
272	38	6	8	EM	2	0	face	real	13	1	0	0	10	8	2	0.8	0.867	0.635	0.667
310	26	6	9	EM	2	0	lexdec	catch	7	0	0	0	4	4	0	1	0.606	0.654	0.667
336	44	6	10	EM	2	0	lexdec	real	16	0	0	0	13	10	3	0.769	0.984	0.67	0.667
380	52	6	11	EM	2	0	scene	real	20	1	0	1	17	9	8	0.529	1.112	0.648	0.714
432	50	6	12	EM	2	0	lexdec	real	19	0	0	0	16	12	4	0.75	1.067	0.661	0.714
482	46	6	13	EM	2	0	face	real	17	1	0	0	14	9	5	0.643	1.005	0.659	0.75
528	34	6	14	EM	2	0	face	real	11	0	1	0	8	6	2	0.75	0.917	0.664	0.667
562	40	6	15	EM	2	0	scene	real	14	1	0	0	11	6	5	0.545	1.073	0.656	0.7
