onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	40	6	1	EM	2	0	scene	real	14	1	0	0	11	9	2	0.818	1.1	0.818	1
60	52	6	2	EM	2	0	scene	real	20	1	0	0	17	11	6	0.647	1.074	0.714	1
112	32	6	3	EM	2	0	scene	real	10	0	1	0	7	3	4	0.429	1.047	0.657	0.667
144	44	6	4	EM	2	0	lexdec	real	16	0	0	0	13	6	7	0.462	1.081	0.604	0.667
188	36	6	5	EM	2	0	lexdec	real	12	0	0	0	9	8	1	0.889	1.104	0.649	0.667
224	26	6	6	EM	2	0	lexdec	catch	7	0	0	0	4	3	1	0.75	1.138	0.656	0.667
250	16	6	7	EM	2	0	face	catch	2	1	0	0	0	0	0	NaN	0.923	0.656	0.75
266	34	6	8	EM	2	0	face	real	11	1	0	0	8	6	2	0.75	1.009	0.667	0.8
300	48	6	9	EM	2	0	scene	real	18	0	1	0	15	7	8	0.467	1.047	0.631	0.667
348	38	6	10	EM	2	0	face	real	13	1	0	0	10	6	4	0.6	1.063	0.628	0.714
386	46	6	11	EM	2	0	face	real	17	0	1	0	14	11	3	0.786	1.016	0.648	0.625
432	54	6	12	EM	2	0	face	real	21	1	0	0	18	16	2	0.889	0.963	0.683	0.667
486	50	6	13	EM	2	0	lexdec	real	19	0	0	0	16	9	7	0.562	1.074	0.669	0.667
536	42	6	14	EM	2	0	lexdec	real	15	0	0	0	12	9	3	0.75	1.072	0.675	0.667
578	24	6	15	EM	2	0	scene	catch	6	1	0	0	3	2	1	0.667	0.822	0.675	0.7
