onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	32	2	1	WM	1	0	scene	real	10	1	0	0	8	5	3	0.625	1.146	0.625	1
52	42	2	2	WM	1	0	face	real	15	0	1	0	13	10	3	0.769	1.19	0.714	0.5
94	28	2	3	WM	1	0	scene	catch	8	0	1	0	6	5	1	0.833	1.065	0.741	0.333
122	46	2	4	WM	1	0	lexdec	real	17	0	0	0	15	9	6	0.6	1.068	0.69	0.333
168	20	2	5	WM	1	0	lexdec	catch	4	0	0	0	2	1	1	0.5	0.828	0.682	0.333
188	18	2	6	WM	1	0	face	catch	3	1	0	0	1	1	0	1	0.381	0.689	0.5
206	44	2	7	WM	1	0	face	real	16	0	1	1	14	3	11	0.214	0.961	0.576	0.4
250	38	2	8	WM	1	0	lexdec	real	13	0	0	0	11	9	2	0.818	0.871	0.614	0.4
288	36	2	9	WM	1	0	face	real	12	0	1	0	10	7	3	0.7	0.994	0.625	0.333
324	54	2	10	WM	1	0	lexdec	real	21	0	0	0	19	18	1	0.947	1.235	0.687	0.333
378	40	2	11	WM	1	0	scene	real	14	1	0	0	12	11	1	0.917	1.287	0.712	0.429
418	34	2	12	WM	1	0	lexdec	real	11	0	0	0	9	9	0	1	1.003	0.733	0.429
452	52	2	13	WM	1	0	scene	real	20	1	0	0	18	12	6	0.667	1.198	0.725	0.5
504	50	2	14	WM	1	0	face	real	19	0	1	0	17	13	4	0.765	1.152	0.729	0.444
554	48	2	15	WM	1	0	scene	real	18	0	1	0	16	10	6	0.625	1.013	0.719	0.4
