onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	48	5	1	EM	2	0	lexdec	real	18	0	0	0	15	12	3	0.8	1.201	0.8	0
68	32	5	2	EM	2	0	lexdec	real	10	0	0	0	7	5	2	0.714	1.142	0.773	0
100	40	5	3	EM	2	0	lexdec	real	14	0	0	0	11	8	3	0.727	1.172	0.758	0
140	20	5	4	EM	2	0	scene	catch	4	0	1	0	1	1	0	1	0.758	0.765	0
160	44	5	5	EM	2	0	face	real	16	0	1	0	13	4	9	0.308	0.933	0.638	0
204	34	5	6	EM	2	0	scene	real	11	1	0	0	8	5	3	0.625	0.781	0.636	0.333
238	28	5	7	EM	2	0	lexdec	catch	8	0	0	0	5	4	1	0.8	0.531	0.65	0.333
266	52	5	8	EM	2	0	lexdec	real	20	0	0	0	17	10	7	0.588	0.818	0.636	0.333
318	38	5	9	EM	2	0	scene	real	13	1	0	0	10	5	5	0.5	0.817	0.621	0.5
356	18	5	10	EM	2	0	face	catch	3	1	0	0	0	0	0	NaN	0	0.621	0.6
374	36	5	11	EM	2	0	face	real	12	0	1	0	9	4	5	0.444	0.955	0.604	0.5
410	46	5	12	EM	2	0	scene	real	17	1	0	0	14	5	9	0.357	0.957	0.573	0.571
456	42	5	13	EM	2	0	face	real	15	1	0	0	12	6	6	0.5	0.962	0.566	0.625
498	54	5	14	EM	2	0	scene	real	21	0	1	0	18	9	9	0.5	1.132	0.557	0.556
552	50	5	15	EM	2	0	face	real	19	1	0	0	16	9	7	0.562	0.902	0.558	0.6
