onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	34	4	1	WM	1	0	scene	real	11	1	0	0	9	9	0	1	0.901	1	1
54	54	4	2	WM	1	0	scene	real	21	1	0	0	19	15	4	0.789	1.134	0.857	1
108	40	4	3	WM	1	0	face	real	14	1	0	0	12	10	2	0.833	1.098	0.85	1
148	42	4	4	WM	1	0	lexdec	real	15	0	0	0	13	10	3	0.769	0.925	0.83	1
190	50	4	5	WM	1	0	lexdec	real	19	0	0	0	17	13	4	0.765	1.179	0.814	1
240	44	4	6	WM	1	0	lexdec	real	16	0	0	0	14	11	3	0.786	1.02	0.81	1
284	48	4	7	WM	1	0	face	real	18	0	1	0	16	9	7	0.562	1.03	0.77	0.75
332	38	4	8	WM	1	0	scene	real	13	1	0	0	11	8	3	0.727	1.017	0.766	0.8
370	52	4	9	WM	1	0	face	real	20	1	0	0	18	15	3	0.833	1.077	0.775	0.833
422	14	4	10	WM	1	0	face	catch	1	1	0	0	0	0	0	NaN	0	0.775	0.857
436	36	4	11	WM	1	0	lexdec	real	12	0	0	0	10	6	4	0.6	1.087	0.763	0.857
472	30	4	12	WM	1	0	scene	catch	9	1	0	0	7	5	2	0.714	0.556	0.76	0.875
502	22	4	13	WM	1	0	lexdec	catch	5	0	0	0	3	1	2	0.333	0.848	0.752	0.875
524	32	4	14	WM	1	0	face	real	10	1	0	0	8	5	3	0.625	1.104	0.745	0.889
556	46	4	15	WM	1	0	scene	real	17	1	0	0	15	10	5	0.667	0.977	0.738	0.9
