onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	22	3	1	WM	1	0	scene	catch	5	1	0	0	3	3	0	1	0.936	1	1
42	42	3	2	WM	1	0	lexdec	real	15	0	0	0	13	11	2	0.846	0.936	0.875	1
84	38	3	3	WM	1	0	scene	real	13	1	0	0	11	9	2	0.818	0.912	0.852	1
122	30	3	4	WM	1	0	lexdec	catch	9	0	0	0	7	6	1	0.857	0.931	0.853	1
152	40	3	5	WM	1	0	face	real	14	0	1	0	12	9	3	0.75	0.991	0.826	0.667
192	34	3	6	WM	1	0	scene	real	11	1	0	0	9	8	1	0.889	0.797	0.836	0.75
226	14	3	7	WM	1	0	face	catch	1	1	0	0	0	0	0	NaN	0	0.836	0.8
240	48	3	8	WM	1	0	face	real	18	0	1	1	16	15	1	0.938	1.158	0.859	0.667
288	36	3	9	WM	1	0	lexdec	real	12	0	0	0	10	9	1	0.9	0.916	0.864	0.667
324	54	3	10	WM	1	0	scene	real	21	0	1	0	19	14	5	0.737	1.07	0.84	0.571
378	32	3	11	WM	1	0	face	real	10	0	1	0	8	4	4	0.5	0.73	0.815	0.5
410	50	3	12	WM	1	0	lexdec	real	19	0	0	0	17	17	0	1	0.802	0.84	0.5
460	52	3	13	WM	1	0	face	real	20	0	1	0	18	16	2	0.889	0.914	0.846	0.444
512	46	3	14	WM	1	0	scene	real	17	1	0	0	15	14	1	0.933	1.017	0.854	0.5
558	44	3	15	WM	1	0	lexdec	real	16	0	0	0	14	13	1	0.929	0.855	0.86	0.5
