onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	46	5	1	EM	2	0	lexdec	real	17	0	0	0	14	11	3	0.786	0.884	0.786	0
66	38	5	2	EM	2	0	lexdec	real	13	0	0	0	10	7	3	0.7	1.066	0.75	0
104.1	50	5	3	EM	2	0	face	real	19	0	1	0	16	12	4	0.75	1.032	0.75	0
154.1	36	5	4	EM	2	0	face	real	12	1	0	0	9	8	1	0.889	0.847	0.776	0.5
190	28	5	5	EM	2	0	lexdec	catch	8	0	0	0	5	5	0	1	0.832	0.796	0.5
218	48	5	6	EM	2	0	scene	real	18	1	0	0	15	8	7	0.533	0.901	0.739	0.667
266	20	5	7	EM	2	0	face	catch	4	1	0	0	1	1	0	1	0.553	0.743	0.75
286	42	5	8	EM	2	0	face	real	15	1	0	0	12	9	3	0.75	0.949	0.744	0.8
328	32	5	9	EM	2	0	scene	real	10	0	1	0	7	6	1	0.857	0.942	0.753	0.667
360	44	5	10	EM	2	0	face	real	16	0	1	0	13	5	8	0.385	0.927	0.706	0.571
404	52	5	11	EM	2	0	scene	real	20	1	0	0	17	13	4	0.765	0.973	0.714	0.625
456	34	5	12	EM	2	0	lexdec	real	11	0	0	0	8	8	0	1	0.872	0.732	0.625
490	54	5	13	EM	2	0	lexdec	real	21	0	0	0	18	12	6	0.667	0.977	0.724	0.625
544.1	40	5	14	EM	2	0	scene	real	14	1	0	0	11	9	2	0.818	0.874	0.731	0.667
584	18	5	15	EM	2	0	scene	catch	3	0	1	0	0	0	0	NaN	0.285	0.731	0.6
