onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	1	1	EM	2	0	scene	real	19	1	0	0	16	7	9	0.438	0.896	0.438	1
70	54	1	2	EM	2	0	face	real	21	0	1	0	18	12	6	0.667	1.159	0.559	0.5
124	38	1	3	EM	2	0	face	real	13	0	1	0	10	4	6	0.4	0.902	0.523	0.333
162	34	1	4	EM	2	0	face	real	11	1	0	0	8	7	1	0.875	0.904	0.577	0.5
196	24	1	5	EM	2	0	lexdec	catch	6	0	0	0	3	3	0	1	0.813	0.6	0.5
220	44	1	6	EM	2	0	scene	real	16	0	1	1	13	10	3	0.769	0.845	0.632	0.4
264	16	1	7	EM	2	0	face	catch	2	0	1	0	0	0	0	NaN	0	0.632	0.333
280.1	32	1	8	EM	2	0	lexdec	real	10	0	0	0	7	2	5	0.286	1.06	0.6	0.333
312	46	1	9	EM	2	0	face	real	17	0	1	0	14	5	9	0.357	0.739	0.562	0.286
358	26	1	10	EM	2	0	scene	catch	7	1	0	0	4	4	0	1	0.44	0.581	0.375
384	40	1	11	EM	2	0	lexdec	real	14	0	0	0	11	11	0	1	0.877	0.625	0.375
424	42	1	12	EM	2	0	scene	real	15	1	0	0	12	9	3	0.75	1.008	0.638	0.444
466	48	1	13	EM	2	0	lexdec	real	18	0	0	0	15	12	3	0.8	1.081	0.656	0.444
514	36	1	14	EM	2	0	scene	real	12	1	0	0	9	4	5	0.444	0.799	0.643	0.5
550	52	1	15	EM	2	0	lexdec	real	20	0	0	0	17	7	10	0.412	0.98	0.618	0.5
