onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	54	6	1	WM	1	0	scene	real	21	1	0	0	19	16	3	0.842	1.035	0.842	1
74	40	6	2	WM	1	0	lexdec	real	14	0	0	0	12	8	4	0.667	0.964	0.774	1
114	28	6	3	WM	1	0	lexdec	catch	8	0	0	0	6	4	2	0.667	1.006	0.757	1
142	18	6	4	WM	1	0	scene	catch	3	1	0	0	1	1	0	1	0.533	0.763	1
160	36	6	5	WM	1	0	face	real	12	1	0	0	10	7	3	0.7	1.15	0.75	1
196	20	6	6	WM	1	0	face	catch	4	1	0	0	2	2	0	1	0.83	0.76	1
216	50	6	7	WM	1	0	face	real	19	1	0	0	17	13	4	0.765	1.052	0.761	1
266	52	6	8	WM	1	0	lexdec	real	20	0	0	0	18	17	1	0.944	1	0.8	1
318	48	6	9	WM	1	0	lexdec	real	18	0	0	0	16	13	3	0.812	0.996	0.802	1
366	34	6	10	WM	1	0	scene	real	11	1	0	0	9	8	1	0.889	0.936	0.809	1
400	44	6	11	WM	1	0	face	real	16	1	0	0	14	12	2	0.857	1.019	0.815	1
444	32	6	12	WM	1	0	lexdec	real	10	0	0	0	8	6	2	0.75	0.983	0.811	1
476	42	6	13	WM	1	0	face	real	15	1	0	0	13	10	3	0.769	0.97	0.807	1
518	46	6	14	WM	1	0	scene	real	17	1	0	0	15	14	1	0.933	0.916	0.819	1
564	38	6	15	WM	1	0	scene	real	13	0	1	0	11	7	4	0.636	1.209	0.807	0.9
