onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	2	1	WM	1	0	scene	real	19	1	0	0	17	12	5	0.706	0.784	0.706	1
70	30	2	2	WM	1	0	lexdec	catch	9	0	0	0	7	5	2	0.714	0.922	0.708	1
100	40	2	3	WM	1	0	face	real	14	1	0	0	12	8	4	0.667	1.144	0.694	1
140.1	14	2	4	WM	1	0	face	catch	1	1	0	0	0	0	0	NaN	0	0.694	1
154	48	2	5	WM	1	0	face	real	18	0	1	2	16	6	10	0.375	0.653	0.596	0.75
202	36	2	6	WM	1	0	scene	real	12	1	0	0	10	5	5	0.5	1.054	0.581	0.8
238	34	2	7	WM	1	0	lexdec	real	11	0	0	0	9	8	1	0.889	0.88	0.62	0.8
272	22	2	8	WM	1	0	scene	catch	5	1	0	0	3	3	0	1	0.711	0.635	0.833
294	54	2	9	WM	1	0	lexdec	real	21	0	0	0	19	15	4	0.789	1.005	0.667	0.833
348.1	46	2	10	WM	1	0	lexdec	real	17	0	0	0	15	13	2	0.867	0.925	0.694	0.833
394	32	2	11	WM	1	0	face	real	10	1	0	0	8	6	2	0.75	0.958	0.698	0.857
426	38	2	12	WM	1	0	lexdec	real	13	0	0	0	11	10	1	0.909	0.997	0.717	0.857
464	42	2	13	WM	1	0	scene	real	15	1	0	0	13	12	1	0.923	0.979	0.736	0.875
508	52	2	14	WM	1	2	face	real	20	1	0	1	18	11	7	0.611	0.992	0.722	0.889
560	44	2	15	WM	1	0	scene	real	16	1	0	0	14	11	3	0.786	1.111	0.727	0.9
