onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	40	3	1	WM	1	0	lexdec	real	14	0	0	0	12	9	3	0.75	1.215	0.75	0
60	48	3	2	WM	1	0	lexdec	real	18	0	0	0	16	12	4	0.75	0.965	0.75	0
108	34	3	3	WM	1	0	face	real	11	0	1	1	9	8	1	0.889	1.056	0.784	0
142	16	3	4	WM	1	0	scene	catch	2	1	0	0	0	0	0	NaN	0	0.784	0.5
158	46	3	5	WM	1	0	face	real	17	0	1	0	15	14	1	0.933	1.195	0.827	0.333
204	50	3	6	WM	1	0	scene	real	19	1	0	0	17	15	2	0.882	1.042	0.841	0.5
254	24	3	7	WM	1	0	lexdec	catch	6	0	0	0	4	1	3	0.25	0.795	0.808	0.5
278	36	3	8	WM	1	0	scene	real	12	0	1	0	10	9	1	0.9	0.821	0.819	0.4
314	32	3	9	WM	1	0	lexdec	real	10	0	0	0	8	6	2	0.75	1.006	0.813	0.4
346	52	3	10	WM	1	0	lexdec	real	20	0	0	0	18	14	4	0.778	1.067	0.807	0.4
398	26	3	11	WM	1	0	face	catch	7	0	1	0	5	3	2	0.6	0.875	0.798	0.333
424	44	3	12	WM	1	0	scene	real	16	1	0	0	14	11	3	0.786	1.157	0.797	0.429
468	38	3	13	WM	1	0	face	real	13	1	0	0	11	6	5	0.545	1.159	0.777	0.5
506	42	3	14	WM	1	0	scene	real	15	0	1	0	13	10	3	0.769	1.337	0.776	0.444
548	54	3	15	WM	1	0	face	real	21	0	1	0	19	10	9	0.526	1.189	0.749	0.4
