onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	32	6	1	EM	2	0	lexdec	real	10	0	0	0	7	7	0	1	0.823	1	0
52	20	6	2	EM	2	0	scene	catch	4	0	1	0	1	1	0	1	0.508	1	0
72	48	6	3	EM	2	0	lexdec	real	18	0	0	0	15	11	4	0.733	0.857	0.826	0
120	52	6	4	EM	2	0	lexdec	real	20	0	0	0	17	13	4	0.765	1.134	0.8	0
172	34	6	5	EM	2	0	scene	real	11	1	0	0	8	4	4	0.5	1.017	0.75	0.5
206	50	6	6	EM	2	0	face	real	19	0	1	0	16	13	3	0.812	1.144	0.766	0.333
256	44	6	7	EM	2	0	face	real	16	0	1	0	13	13	0	1	0.985	0.805	0.25
300	46	6	8	EM	2	0	scene	real	17	1	0	0	14	9	5	0.643	0.941	0.78	0.4
346	38	6	9	EM	2	0	scene	real	13	0	1	0	10	6	4	0.6	0.936	0.762	0.333
384	40	6	10	EM	2	0	lexdec	real	14	0	0	0	11	7	4	0.636	0.962	0.75	0.333
424	42	6	11	EM	2	0	face	real	15	0	1	0	12	8	4	0.667	1.071	0.742	0.286
466	28	6	12	EM	2	0	face	catch	8	0	1	0	5	3	2	0.6	0.757	0.736	0.25
494	36	6	13	EM	2	0	face	real	12	0	1	0	9	1	8	0.111	0.961	0.696	0.222
530	54	6	14	EM	2	0	scene	real	21	1	0	0	18	7	11	0.389	1.095	0.66	0.3
584	18	6	15	EM	2	0	lexdec	catch	3	0	0	0	0	0	0	NaN	0.351	0.66	0.3
