onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	18	1	1	WM	1	0	scene	catch	3	1	0	0	1	1	0	1	0.443	1	1
38	54	1	2	WM	1	0	scene	real	21	1	0	0	19	19	0	1	1.096	1	1
92	20	1	3	WM	1	0	lexdec	catch	4	0	0	0	2	1	1	0.5	0.914	0.955	1
112	42	1	4	WM	1	0	face	real	15	1	0	0	13	12	1	0.923	1.063	0.943	1
154	38	1	5	WM	1	0	scene	real	13	1	0	0	11	10	1	0.909	1.014	0.935	1
192	44	1	6	WM	1	0	face	real	16	0	1	0	14	13	1	0.929	1.258	0.933	0.8
236	34	1	7	WM	1	0	scene	real	11	1	0	0	9	6	3	0.667	0.877	0.899	0.833
270	36	1	8	WM	1	0	face	real	12	0	1	0	10	8	2	0.8	1.146	0.886	0.714
306	32	1	9	WM	1	0	lexdec	real	10	0	0	0	8	6	2	0.75	1.02	0.874	0.714
338	28	1	10	WM	1	0	face	catch	8	0	1	0	6	3	3	0.5	0.987	0.849	0.625
366	46	1	11	WM	1	0	scene	real	17	1	0	0	15	15	0	1	1.112	0.87	0.667
412	48	1	12	WM	1	0	lexdec	real	18	0	0	0	16	16	0	1	1.054	0.887	0.667
460	52	1	13	WM	1	0	lexdec	real	20	0	0	0	18	14	4	0.778	1.033	0.873	0.667
512	50	1	14	WM	1	0	face	real	19	1	0	0	17	15	2	0.882	1.243	0.874	0.7
562	40	1	15	WM	1	0	lexdec	real	14	0	0	0	12	10	2	0.833	1.109	0.871	0.7
