onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	30	2	1	WM	1	0	face	catch	9	0	1	0	7	5	2	0.714	1.004	0.714	0
50	34	2	2	WM	1	0	scene	real	11	0	1	0	9	6	3	0.667	1.001	0.688	0
84	42	2	3	WM	1	0	lexdec	real	15	0	0	0	13	8	5	0.615	1	0.655	0
126	48	2	4	WM	1	0	face	real	18	1	0	0	16	13	3	0.812	1.034	0.711	0.333
174	22	2	5	WM	1	0	lexdec	catch	5	0	0	0	3	3	0	1	0.987	0.729	0.333
196	38	2	6	WM	1	0	scene	real	13	1	0	0	11	9	2	0.818	0.829	0.746	0.5
234	14	2	7	WM	1	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.746	0.6
248	32	2	8	WM	1	0	face	real	10	1	0	0	8	6	2	0.75	0.682	0.746	0.667
280	36	2	9	WM	1	0	lexdec	real	12	0	0	0	10	8	2	0.8	0.889	0.753	0.667
316	44	2	10	WM	1	0	lexdec	real	16	0	0	0	14	12	2	0.857	0.907	0.769	0.667
360	52	2	11	WM	1	0	face	real	20	1	0	0	18	10	8	0.556	0.929	0.734	0.714
412	46	2	12	WM	1	0	scene	real	17	0	1	0	15	12	3	0.8	0.867	0.742	0.625
458	40	2	13	WM	1	0	face	real	14	0	1	0	12	8	4	0.667	0.959	0.735	0.556
498	50	2	14	WM	1	0	lexdec	real	19	0	0	0	17	13	4	0.765	0.913	0.739	0.556
548	54	2	15	WM	1	0	scene	real	21	0	1	0	19	15	4	0.789	1.029	0.744	0.5
