onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	44	3	1	EM	2	0	face	real	16	0	1	0	13	9	4	0.692	0.952	0.692	0
64	20	3	2	EM	2	0	lexdec	catch	4	0	0	0	1	1	0	1	0.435	0.714	0
84	54	3	3	EM	2	0	scene	real	21	0	1	1	18	12	6	0.667	0.985	0.688	0
138	48	3	4	EM	2	0	lexdec	real	18	0	0	0	15	14	1	0.933	0.921	0.766	0
186	50	3	5	EM	2	0	face	real	19	1	0	0	16	14	2	0.875	0.881	0.794	0.333
236	46	3	6	EM	2	0	scene	real	17	1	0	0	14	12	2	0.857	0.883	0.805	0.5
282	40	3	7	EM	2	0	lexdec	real	14	0	0	0	11	9	2	0.818	0.936	0.807	0.5
322	52	3	8	EM	2	0	lexdec	real	20	0	0	0	17	17	0	1	0.766	0.838	0.5
374	32	3	9	EM	2	0	lexdec	real	10	0	0	0	7	6	1	0.857	0.663	0.839	0.5
406	42	3	10	EM	2	0	face	real	15	1	0	0	12	10	2	0.833	0.946	0.839	0.6
448	28	3	11	EM	2	0	scene	catch	8	0	1	0	5	3	2	0.6	0.723	0.829	0.5
476	38	3	12	EM	2	0	scene	real	13	1	0	0	10	10	0	1	0.844	0.842	0.571
514	34	3	13	EM	2	0	scene	real	11	0	1	0	8	6	2	0.75	0.827	0.837	0.5
548	36	3	14	EM	2	0	face	real	12	0	1	0	9	6	3	0.667	0.859	0.827	0.444
584	18	3	15	EM	2	0	face	catch	3	0	1	0	0	0	0	NaN	0.348	0.827	0.4
