onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	2	1	WM	1	0	face	real	19	0	1	1	17	10	7	0.588	1.051	0.588	0
70	36	2	2	WM	1	0	face	real	12	1	0	0	10	8	2	0.8	1.146	0.667	0.5
106	52	2	3	WM	1	0	scene	real	20	1	0	0	18	16	2	0.889	1.165	0.756	0.667
158	32	2	4	WM	1	0	scene	real	10	1	0	0	8	6	2	0.75	1.14	0.755	0.75
190	34	2	5	WM	1	0	lexdec	real	11	0	0	0	9	9	0	1	0.87	0.79	0.75
224	38	2	6	WM	1	0	lexdec	real	13	0	0	0	11	9	2	0.818	0.842	0.795	0.75
262	42	2	7	WM	1	0	face	real	15	1	0	0	13	9	4	0.692	1.032	0.779	0.8
304	46	2	8	WM	1	0	lexdec	real	17	0	0	0	15	14	1	0.933	0.846	0.802	0.8
350	44	2	9	WM	1	0	face	real	16	1	0	0	14	14	0	1	0.949	0.826	0.833
394	40	2	10	WM	1	0	scene	real	14	1	0	0	12	9	3	0.75	0.954	0.819	0.857
434	18	2	11	WM	1	0	face	catch	3	0	1	0	1	1	0	1	0.66	0.82	0.75
452	48	2	12	WM	1	0	scene	real	18	0	1	1	16	10	6	0.625	0.933	0.799	0.667
500	54	2	13	WM	1	0	lexdec	real	21	0	0	0	19	16	3	0.842	0.869	0.804	0.667
554	20	2	14	WM	1	0	scene	catch	4	1	0	0	2	1	1	0.5	0.968	0.8	0.7
574	28	2	15	WM	1	0	lexdec	catch	8	0	0	0	6	4	2	0.667	0.892	0.795	0.7
