onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	32	5	1	EM	2	0	scene	real	10	0	1	0	7	3	4	0.429	0.909	0.429	0
52	38	5	2	EM	2	0	face	real	13	0	1	0	10	8	2	0.8	0.872	0.647	0
90	52	5	3	EM	2	0	scene	real	20	0	1	0	17	12	5	0.706	0.86	0.676	0
142	46	5	4	EM	2	0	face	real	17	1	0	0	14	9	5	0.643	0.838	0.667	0.25
188	34	5	5	EM	2	0	face	real	11	0	1	0	8	5	3	0.625	0.723	0.661	0.2
222	26	5	6	EM	2	0	lexdec	catch	7	0	0	0	4	4	0	1	0.576	0.683	0.2
248	36	5	7	EM	2	0	lexdec	real	12	0	0	0	9	7	2	0.778	0.752	0.696	0.2
284	42	5	8	EM	2	0	lexdec	real	15	0	0	0	12	12	0	1	0.725	0.741	0.2
326	48	5	9	EM	2	0	scene	real	18	1	0	0	15	12	3	0.8	0.966	0.75	0.333
374	50	5	10	EM	2	0	lexdec	real	19	0	0	0	16	15	1	0.938	0.82	0.777	0.333
424	24	5	11	EM	2	0	face	catch	6	0	1	0	3	2	1	0.667	0.62	0.774	0.286
448	44	5	12	EM	2	0	lexdec	real	16	0	0	0	13	13	0	1	0.775	0.797	0.286
492	16	5	13	EM	2	0	scene	catch	2	0	1	0	0	0	0	NaN	0.818	0.797	0.25
508	40	5	14	EM	2	0	scene	real	14	0	1	0	11	9	2	0.818	0.885	0.799	0.222
548	54	5	15	EM	2	0	face	real	21	1	0	1	18	15	3	0.833	0.662	0.803	0.3
