onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	1	1	WM	1	0	face	real	19	1	0	0	17	9	8	0.529	1.15	0.529	1
70	38	1	2	WM	1	0	lexdec	real	13	0	0	0	11	6	5	0.545	1.292	0.536	1
108	52	1	3	WM	1	0	scene	real	20	0	1	0	18	13	5	0.722	1.327	0.609	0.5
160	40	1	4	WM	1	0	scene	real	14	1	0	0	12	10	2	0.833	1.328	0.655	0.667
200	42	1	5	WM	1	0	face	real	15	1	0	0	13	10	3	0.769	1.332	0.676	0.75
242	34	1	6	WM	1	0	lexdec	real	11	0	0	0	9	8	1	0.889	1.16	0.7	0.75
276	54	1	7	WM	1	0	lexdec	real	21	0	0	0	19	19	0	1	1.127	0.758	0.75
330	20	1	8	WM	1	0	face	catch	4	1	0	0	2	1	1	0.5	0.609	0.752	0.8
350	32	1	9	WM	1	0	scene	real	10	1	0	0	8	6	2	0.75	1.092	0.752	0.833
382	48	1	10	WM	1	0	scene	real	18	1	0	0	16	15	1	0.938	1.237	0.776	0.857
430	46	1	11	WM	1	0	lexdec	real	17	0	0	0	15	13	2	0.867	1.044	0.786	0.857
476	18	1	12	WM	1	0	lexdec	catch	3	0	0	0	1	1	0	1	0.67	0.787	0.857
494	44	1	13	WM	1	0	face	real	16	0	1	0	14	10	4	0.714	1.285	0.781	0.75
538	36	1	14	WM	1	0	face	real	12	0	1	0	10	7	3	0.7	0.889	0.776	0.667
574	28	1	15	WM	1	0	scene	catch	8	0	1	0	6	5	1	0.833	1.23	0.778	0.6
