onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	54	5	1	WM	1	0	face	real	21	1	0	0	19	17	2	0.895	0.95	0.895	1
74	50	5	2	WM	1	0	scene	real	19	1	0	0	17	15	2	0.882	1.011	0.889	1
124	32	5	3	WM	1	0	lexdec	real	10	0	0	0	8	8	0	1	0.924	0.909	1
156	46	5	4	WM	1	0	face	real	17	0	1	1	15	10	5	0.667	0.926	0.847	0.667
202	44	5	5	WM	1	0	scene	real	16	0	1	0	14	13	1	0.929	0.996	0.863	0.5
246	38	5	6	WM	1	0	face	real	13	0	1	0	11	6	5	0.545	1.014	0.821	0.4
284	52	5	7	WM	1	0	lexdec	real	20	0	0	0	18	18	0	1	0.962	0.853	0.4
336	40	5	8	WM	1	0	lexdec	real	14	0	0	0	12	9	3	0.75	1.062	0.842	0.4
376	26	5	9	WM	1	0	face	catch	7	0	1	0	5	5	0	1	0.859	0.849	0.333
402	42	5	10	WM	1	0	scene	real	15	0	1	0	13	9	4	0.692	0.957	0.833	0.286
444	48	5	11	WM	1	0	lexdec	real	18	0	0	0	16	14	2	0.875	0.914	0.838	0.286
492	36	5	12	WM	1	0	scene	real	12	0	1	0	10	6	4	0.6	0.935	0.823	0.25
528	24	5	13	WM	1	0	lexdec	catch	6	0	0	0	4	4	0	1	0.682	0.827	0.25
552	34	5	14	WM	1	0	face	real	11	0	1	0	9	7	2	0.778	0.807	0.825	0.222
586	16	5	15	WM	1	0	scene	catch	2	0	1	0	0	0	0	NaN	0.47	0.825	0.2
