onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	48	1	1	EM	2	0	face	real	18	1	0	0	15	13	2	0.867	0.909	0.867	1
68	44	1	2	EM	2	0	scene	real	16	0	1	0	13	7	6	0.538	1.02	0.714	0.5
112	14	1	3	EM	2	0	lexdec	catch	1	0	0	0	0	0	0	NaN	0	0.714	0.5
126	52	1	4	EM	2	0	face	real	20	1	0	1	17	13	4	0.765	0.954	0.733	0.667
178	42	1	5	EM	2	0	scene	real	15	0	1	0	12	6	6	0.5	0.731	0.684	0.5
220	54	1	6	EM	2	0	lexdec	real	21	0	0	0	18	8	10	0.444	0.841	0.627	0.5
274	32	1	7	EM	2	0	face	real	10	1	0	0	7	7	0	1	0.891	0.659	0.6
306	36	1	8	EM	2	0	scene	real	12	1	0	0	9	9	0	1	1.183	0.692	0.667
342	46	1	9	EM	2	0	lexdec	real	17	0	0	0	14	6	8	0.429	0.811	0.657	0.667
388	40	1	10	EM	2	0	face	real	14	0	1	0	11	4	7	0.364	0.725	0.629	0.571
428	34	1	11	EM	2	0	lexdec	real	11	0	0	0	8	4	4	0.5	0.662	0.621	0.571
462	30	1	12	EM	2	0	face	catch	9	0	1	0	6	4	2	0.667	0.937	0.623	0.5
492	38	1	13	EM	2	0	lexdec	real	13	0	0	0	10	6	4	0.6	1	0.621	0.5
530	22	1	14	EM	2	0	scene	catch	5	1	0	0	2	2	0	1	0.686	0.627	0.556
552	50	1	15	EM	2	0	scene	real	19	1	0	0	16	16	0	1	0.996	0.665	0.6
