onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	20	3	1	WM	1	0	lexdec	catch	4	0	0	0	2	1	1	0.5	0.72	0.5	0
40	48	3	2	WM	1	0	scene	real	18	1	0	0	16	15	1	0.938	0.888	0.889	1
88	52	3	3	WM	1	0	scene	real	20	1	0	0	18	18	0	1	0.823	0.944	1
140	34	3	4	WM	1	0	lexdec	real	11	0	0	0	9	7	2	0.778	0.941	0.911	1
174	46	3	5	WM	1	0	lexdec	real	17	0	0	0	15	15	0	1	0.887	0.933	1
220	36	3	6	WM	1	0	face	real	12	1	0	0	10	8	2	0.8	1.037	0.914	1
256	40	3	7	WM	1	0	scene	real	14	1	0	0	12	11	1	0.917	0.797	0.915	1
296	42	3	8	WM	1	0	face	real	15	1	0	0	13	9	4	0.692	1.066	0.884	1
338	54	3	9	WM	1	0	lexdec	real	21	0	0	0	19	16	3	0.842	1	0.877	1
392	44	3	10	WM	1	0	face	real	16	1	0	0	14	13	1	0.929	0.898	0.883	1
436	32	3	11	WM	1	0	scene	real	10	1	0	0	8	8	0	1	0.792	0.89	1
468	18	3	12	WM	1	0	scene	catch	3	1	0	0	1	1	0	1	0.271	0.891	1
486	50	3	13	WM	1	0	face	real	19	1	0	0	17	16	1	0.941	0.885	0.896	1
536	28	3	14	WM	1	0	face	catch	8	0	1	0	6	6	0	1	0.843	0.9	0.9
564	38	3	15	WM	1	0	lexdec	real	13	0	0	0	11	10	1	0.909	0.998	0.901	0.9
