onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	44	1	1	WM	1	0	lexdec	real	16	0	0	0	14	11	3	0.786	1.106	0.786	0
64	42	1	2	WM	1	0	lexdec	real	15	0	0	0	13	13	0	1	0.951	0.889	0
106	48	1	3	WM	1	0	face	real	18	1	0	0	16	15	1	0.938	1.085	0.907	1
154	40	1	4	WM	1	0	face	real	14	0	1	0	12	10	2	0.833	0.931	0.891	0.5
194	22	1	5	WM	1	0	scene	catch	5	1	0	0	3	3	0	1	0.857	0.897	0.667
216	14	1	6	WM	1	0	face	catch	1	1	0	0	0	0	0	NaN	0	0.897	0.75
230	34	1	7	WM	1	0	scene	real	11	1	0	0	9	9	0	1	0.801	0.91	0.8
264	30	1	8	WM	1	0	lexdec	catch	9	0	0	0	7	5	2	0.714	1.063	0.892	0.8
294	46	1	9	WM	1	0	scene	real	17	1	0	0	15	13	2	0.867	0.998	0.888	0.833
340	38	1	10	WM	1	0	scene	real	13	0	1	0	11	8	3	0.727	1.079	0.87	0.714
378	50	1	11	WM	1	0	lexdec	real	19	0	0	0	17	17	0	1	1.036	0.889	0.714
428	52	1	12	WM	1	0	face	real	20	1	0	3	18	14	4	0.778	0.955	0.874	0.75
480	54	1	13	WM	1	0	scene	real	21	1	0	0	19	17	2	0.895	1.066	0.877	0.778
534	32	1	14	WM	1	0	face	real	10	1	0	0	8	7	1	0.875	0.764	0.877	0.8
566	36	1	15	WM	1	0	lexdec	real	12	0	0	0	10	9	1	0.9	0.865	0.878	0.8
