onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	38	4	1	EM	2	0	scene	real	13	1	0	0	10	10	0	1	0.725	1	1
58	42	4	2	EM	2	0	face	real	15	1	0	0	12	11	1	0.917	0.87	0.955	1
100	36	4	3	EM	2	0	face	real	12	1	0	0	9	8	1	0.889	0.827	0.935	1
136	32	4	4	EM	2	0	lexdec	real	10	0	0	0	7	7	0	1	0.806	0.947	1
168	34	4	5	EM	2	0	scene	real	11	1	0	0	8	8	0	1	0.918	0.957	1
202	50	4	6	EM	2	0	face	real	19	1	0	1	16	14	2	0.875	0.888	0.935	1
252	18	4	7	EM	2	0	scene	catch	3	1	0	0	0	0	0	NaN	0	0.935	1
270	20	4	8	EM	2	0	lexdec	catch	4	0	0	0	1	0	1	0	0.507	0.921	1
290	48	4	9	EM	2	0	lexdec	real	18	0	0	0	15	14	1	0.933	1.067	0.923	1
338	46	4	10	EM	2	0	scene	real	17	1	0	0	14	12	2	0.857	0.834	0.913	1
384	40	4	11	EM	2	0	lexdec	real	14	0	0	0	11	11	0	1	0.876	0.922	1
424	54	4	12	EM	2	0	scene	real	21	1	0	0	18	18	0	1	1.028	0.934	1
478	44	4	13	EM	2	0	face	real	16	1	0	0	13	13	0	1	1.066	0.94	1
522	52	4	14	EM	2	0	lexdec	real	20	0	0	0	17	14	3	0.824	1.038	0.927	1
574	28	4	15	EM	2	0	face	catch	8	1	0	0	5	5	0	1	0.792	0.929	1
