onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	46	5	1	WM	1	0	face	real	17	1	0	0	15	10	5	0.667	1.263	0.667	1
66	50	5	2	WM	1	0	scene	real	19	1	0	0	17	13	4	0.765	1.314	0.719	1
116	42	5	3	WM	1	0	scene	real	15	0	1	0	13	10	3	0.769	1.306	0.733	0.667
158	52	5	4	WM	1	0	lexdec	real	20	0	0	0	18	16	2	0.889	0.908	0.778	0.667
210	36	5	5	WM	1	0	scene	real	12	1	0	0	10	6	4	0.6	1.112	0.753	0.75
246	26	5	6	WM	1	0	face	catch	7	1	0	0	5	5	0	1	0.889	0.769	0.8
272	32	5	7	WM	1	0	lexdec	real	10	0	0	0	8	8	0	1	0.758	0.791	0.8
304	38	5	8	WM	1	0	face	real	13	1	0	0	11	10	1	0.909	1.129	0.804	0.833
342	24	5	9	WM	1	0	lexdec	catch	6	0	0	0	4	2	2	0.5	0.868	0.792	0.833
366	16	5	10	WM	1	0	scene	catch	2	0	1	0	0	0	0	NaN	0.535	0.792	0.714
382	48	5	11	WM	1	0	lexdec	real	18	0	0	0	16	14	2	0.875	0.981	0.803	0.714
430	54	5	12	WM	1	0	face	real	21	1	0	0	19	13	6	0.684	1.253	0.787	0.75
484	44	5	13	WM	1	0	scene	real	16	1	0	0	14	11	3	0.786	1.058	0.787	0.778
528	40	5	14	WM	1	0	lexdec	real	14	0	0	0	12	12	0	1	0.985	0.802	0.778
568	34	5	15	WM	1	0	face	real	11	1	0	0	9	7	2	0.778	0.851	0.801	0.8
