onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	36	4	1	WM	1	0	scene	real	12	1	0	0	10	6	4	0.6	1.026	0.6	1
56	54	4	2	WM	1	0	lexdec	real	21	0	0	0	19	15	4	0.789	0.87	0.724	1
110	30	4	3	WM	1	0	scene	catch	9	0	1	0	7	6	1	0.857	0.805	0.75	0.5
140	52	4	4	WM	1	0	face	real	20	1	0	1	18	12	6	0.667	1.009	0.722	0.667
192	14	4	5	WM	1	0	lexdec	catch	1	0	0	0	0	0	0	NaN	0.877	0.722	0.667
206	34	4	6	WM	1	0	lexdec	real	11	0	0	0	9	9	0	1	0.858	0.762	0.667
240	46	4	7	WM	1	0	lexdec	real	17	0	0	0	15	12	3	0.8	0.91	0.769	0.667
286	38	4	8	WM	1	0	lexdec	real	13	0	0	0	11	10	1	0.909	0.907	0.787	0.667
324	22	4	9	WM	1	0	face	catch	5	1	0	0	3	3	0	1	0.941	0.793	0.75
346	42	4	10	WM	1	0	scene	real	15	1	0	0	13	9	4	0.692	0.981	0.781	0.8
388	32	4	11	WM	1	0	face	real	10	1	0	1	8	7	1	0.875	1.066	0.788	0.833
420	40	4	12	WM	1	0	face	real	14	1	0	1	12	11	1	0.917	1.066	0.8	0.857
460	44	4	13	WM	1	0	scene	real	16	1	0	0	14	11	3	0.786	1.018	0.799	0.875
504	50	4	14	WM	1	0	scene	real	19	1	0	1	17	8	9	0.471	1.073	0.763	0.889
554	48	4	15	WM	1	0	face	real	18	1	0	0	16	11	5	0.688	1.03	0.756	0.9
