onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	46	1	1	EM	2	0	scene	real	17	1	0	0	14	6	8	0.429	1.193	0.429	1
66	50	1	2	EM	2	0	lexdec	real	19	0	0	0	16	13	3	0.812	1.076	0.633	1
116	42	1	3	EM	2	0	lexdec	real	15	0	0	0	12	11	1	0.917	0.87	0.714	1
158	34	1	4	EM	2	0	scene	real	11	1	0	0	8	4	4	0.5	0.973	0.68	1
192	14	1	5	EM	2	0	lexdec	catch	1	0	0	0	0	0	0	NaN	0	0.68	1
206	40	1	6	EM	2	0	face	real	14	1	0	0	11	9	2	0.818	1.18	0.705	1
246	32	1	7	EM	2	0	face	real	10	1	0	0	7	4	3	0.571	1.089	0.691	1
278	44	1	8	EM	2	0	lexdec	real	16	0	0	0	13	10	3	0.769	1.096	0.704	1
322	48	1	9	EM	2	0	face	real	18	1	0	0	15	12	3	0.8	1.206	0.719	1
370	52	1	10	EM	2	0	face	real	20	1	0	0	17	14	3	0.824	1.06	0.735	1
422	22	1	11	EM	2	0	scene	catch	5	1	0	0	2	2	0	1	0.454	0.739	1
444	36	1	12	EM	2	0	lexdec	real	12	0	0	0	9	6	3	0.667	0.93	0.734	1
480	30	1	13	EM	2	0	face	catch	9	0	1	0	6	1	5	0.167	0.693	0.708	0.875
510	38	1	14	EM	2	0	scene	real	13	1	0	0	10	6	4	0.6	1.251	0.7	0.889
548	54	1	15	EM	2	0	scene	real	21	1	0	0	18	14	4	0.778	0.996	0.709	0.9
