onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	38	2	1	WM	1	0	face	real	13	0	1	0	11	8	3	0.727	1.127	0.727	0
58	16	2	2	WM	1	0	lexdec	catch	2	0	0	0	0	0	0	NaN	0.5	0.727	0
74	24	2	3	WM	1	0	scene	catch	6	1	0	0	4	4	0	1	0.826	0.8	0.5
98	52	2	4	WM	1	0	scene	real	20	1	0	0	18	15	3	0.833	0.972	0.818	0.667
150	46	2	5	WM	1	0	face	real	17	1	0	0	15	10	5	0.667	0.905	0.771	0.75
196	36	2	6	WM	1	0	lexdec	real	12	0	0	0	10	8	2	0.8	1.008	0.776	0.75
232	48	2	7	WM	1	0	scene	real	18	0	1	0	16	10	6	0.625	0.922	0.743	0.6
280	34	2	8	WM	1	0	face	real	11	1	0	0	9	8	1	0.889	1.078	0.759	0.667
314	54	2	9	WM	1	0	face	real	21	1	0	0	19	12	7	0.632	1.188	0.735	0.714
368	32	2	10	WM	1	0	scene	real	10	0	1	0	8	7	1	0.875	1.079	0.745	0.625
400	26	2	11	WM	1	0	face	catch	7	1	0	0	5	5	0	1	1.109	0.757	0.667
426	44	2	12	WM	1	0	lexdec	real	16	0	0	0	14	7	7	0.5	1.075	0.729	0.667
470	42	2	13	WM	1	0	lexdec	real	15	0	0	0	13	8	5	0.615	0.807	0.718	0.667
512	50	2	14	WM	1	0	lexdec	real	19	0	0	0	17	11	6	0.647	0.79	0.711	0.667
562	40	2	15	WM	1	0	scene	real	14	1	0	0	12	6	6	0.5	1.119	0.696	0.7
