onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	24	5	1	WM	1	0	face	catch	6	1	0	0	4	3	1	0.75	0.685	0.75	1
44	38	5	2	WM	1	0	face	real	13	1	0	0	11	8	3	0.727	0.921	0.733	1
82	50	5	3	WM	1	0	scene	real	19	1	0	0	17	12	5	0.706	0.962	0.719	1
132	54	5	4	WM	1	0	face	real	21	0	1	1	19	12	7	0.632	1.086	0.686	0.75
186	52	5	5	WM	1	0	lexdec	real	20	0	0	0	18	15	3	0.833	1.006	0.725	0.75
238	36	5	6	WM	1	0	scene	real	12	1	0	0	10	10	0	1	0.871	0.759	0.8
274	46	5	7	WM	1	0	face	real	17	0	1	0	15	10	5	0.667	1.124	0.745	0.667
320	42	5	8	WM	1	0	scene	real	15	0	1	0	13	7	6	0.538	1.111	0.72	0.571
362	44	5	9	WM	1	0	scene	real	16	1	0	0	14	12	2	0.857	0.942	0.736	0.625
406	16	5	10	WM	1	0	scene	catch	2	1	0	0	0	0	0	NaN	0	0.736	0.667
422	48	5	11	WM	1	0	lexdec	real	18	0	0	0	16	8	8	0.5	0.957	0.708	0.667
470	32	5	12	WM	1	0	lexdec	real	10	0	0	0	8	6	2	0.75	0.812	0.71	0.667
502	34	5	13	WM	1	0	face	real	11	1	0	0	9	5	4	0.556	1.077	0.701	0.7
536	26	5	14	WM	1	0	lexdec	catch	7	0	0	0	5	4	1	0.8	0.792	0.704	0.7
562	40	5	15	WM	1	0	lexdec	real	14	0	0	0	12	9	3	0.75	0.976	0.708	0.7
