onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	40	1	1	WM	1	0	scene	real	14	1	0	0	12	9	3	0.75	1.016	0.75	1
60	20	1	2	WM	1	0	face	catch	4	0	1	0	2	0	2	0	0.933	0.643	0.5
80	42	1	3	WM	1	0	face	real	15	1	0	0	13	9	4	0.692	1.168	0.667	0.667
122	50	1	4	WM	1	0	face	real	19	1	0	0	17	16	1	0.941	1.064	0.773	0.75
172	34	1	5	WM	1	0	lexdec	real	11	0	0	0	9	8	1	0.889	1.066	0.792	0.75
206	54	1	6	WM	1	0	lexdec	real	21	0	0	0	19	18	1	0.947	0.999	0.833	0.75
260	32	1	7	WM	1	0	scene	real	10	1	0	0	8	5	3	0.625	0.957	0.812	0.8
292	18	1	8	WM	1	0	scene	catch	3	1	0	0	1	1	0	1	0.302	0.815	0.833
310	48	1	9	WM	1	0	scene	real	18	1	0	0	16	9	7	0.562	1.09	0.773	0.857
358	28	1	10	WM	1	0	lexdec	catch	8	0	0	0	6	4	2	0.667	0.939	0.767	0.857
386	52	1	11	WM	1	0	scene	real	20	0	1	0	18	14	4	0.778	1.058	0.769	0.75
438	38	1	12	WM	1	0	lexdec	real	13	0	0	0	11	8	3	0.727	1.055	0.765	0.75
476	46	1	13	WM	1	0	lexdec	real	17	0	0	0	15	14	1	0.933	1.012	0.782	0.75
522	44	1	14	WM	1	0	face	real	16	1	0	0	14	11	3	0.786	1.031	0.783	0.778
566	36	1	15	WM	1	0	face	real	12	0	1	1	10	7	3	0.7	1.142	0.778	0.7
