onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	50	5	1	EM	2	0	scene	real	19	1	0	0	16	9	7	0.562	1.022	0.562	1
70	40	5	2	EM	2	0	face	real	14	1	0	0	11	8	3	0.727	0.883	0.63	1
110	30	5	3	EM	2	0	face	catch	9	1	0	0	6	3	3	0.5	0.998	0.606	1
140	44	5	4	EM	2	0	scene	real	16	1	0	0	13	6	7	0.462	0.898	0.565	1
184	38	5	5	EM	2	0	lexdec	real	13	0	0	0	10	4	6	0.4	0.864	0.536	1
222	54	5	6	EM	2	0	lexdec	real	21	0	0	0	18	13	5	0.722	1.017	0.581	1
276	48	5	7	EM	2	0	face	real	18	1	0	0	15	6	9	0.4	0.962	0.551	1
324	14	5	8	EM	2	0	scene	catch	1	1	0	0	0	0	0	NaN	0	0.551	1
338	36	5	9	EM	2	0	scene	real	12	1	0	0	9	6	3	0.667	0.799	0.561	1
374	22	5	10	EM	2	0	lexdec	catch	5	0	0	0	2	2	0	1	0.701	0.57	1
396	46	5	11	EM	2	0	lexdec	real	17	0	0	0	14	8	6	0.571	1.005	0.57	1
442	52	5	12	EM	2	0	face	real	20	1	0	0	17	9	8	0.529	0.99	0.565	1
494	34	5	13	EM	2	0	lexdec	real	11	0	0	0	8	3	5	0.375	0.83	0.554	1
528	42	5	14	EM	2	0	scene	real	15	1	0	0	12	7	5	0.583	0.971	0.556	1
570	32	5	15	EM	2	0	face	real	10	1	0	0	7	7	0	1	0.865	0.576	1
